Variable_1,Variable_2,Correlacion
Potencia_B,Potencia_C,0.9999282381509573
Potencia_A,Potencia_B,0.999906318577526
Potencia_A,Potencia_C,0.999851071748921
THD_Corriente_A,THD_Corriente_B,0.9941139320665714
THD_Voltaje_A,THD_Voltaje_Promedio,0.991297853820548
THD_Corriente_B,THD_Corriente_C,0.9884962620938712
THD_Corriente_A,THD_Corriente_C,0.9870282858221844
THD_Voltaje_Promedio,THD_Voltaje_C,0.9689229449832553
THD_Corriente_B,THD,0.9686777513130247
THD_Voltaje_B,THD_Voltaje_Promedio,0.9649339643374946
THD_Corriente_A,THD,0.9644837472904058
THD_Corriente_C,THD,0.9574515212937034
THD_Voltaje_A,THD_Voltaje_C,0.9542078169213497
THD_Voltaje_A,THD_Voltaje_B,0.9427769011311321
THD_Corriente_A,Potencia_C,0.9273576500377568
THD_Corriente_A,Potencia_B,0.925061163785758
THD_Corriente_A,Potencia_A,0.9245736474949838
THD_Corriente_B,Potencia_C,0.9168147419238115
THD_Corriente_B,Potencia_B,0.9146634514936262
THD_Corriente_B,Potencia_A,0.9139066877101797
THD_Corriente_C,Potencia_C,0.9107356575702398
THD_Corriente_C,Potencia_B,0.9087206590710973
THD_Corriente_C,Potencia_A,0.9074819000932854
Potencia_C,THD,0.8815873125757783
THD_Voltaje_B,THD_Voltaje_C,0.8815186583100709
Potencia_B,THD,0.8795373144388243
Potencia_A,THD,0.8790153139055468
