,THD_Corriente_A,THD_Corriente_B,THD_Corriente_C,THD_Voltaje_A,THD_Voltaje_B,THD_Voltaje_Promedio,THD_Voltaje_C,Potencia_A,Potencia_B,Potencia_C,THD
THD_Corriente_A,1.0,0.9941139320665714,0.9870282858221844,-0.3606708436118025,-0.2594460247811886,-0.32762461280682664,-0.3315549538127713,0.9245736474949838,0.925061163785758,0.9273576500377568,0.9644837472904058
THD_Corriente_B,0.9941139320665714,1.0,0.9884962620938712,-0.35004711111875497,-0.24215443081583032,-0.3139854036597008,-0.3191607187407962,0.9139066877101797,0.9146634514936262,0.9168147419238115,0.9686777513130247
THD_Corriente_C,0.9870282858221844,0.9884962620938712,1.0,-0.37869013316004413,-0.29250178236124574,-0.3465564492868058,-0.33583276633035625,0.9074819000932854,0.9087206590710973,0.9107356575702398,0.9574515212937034
THD_Voltaje_A,-0.3606708436118025,-0.35004711111875497,-0.37869013316004413,1.0,0.9427769011311321,0.991297853820548,0.9542078169213497,-0.36492941860539146,-0.36656567539156,-0.3673503869711489,-0.11648756767030974
THD_Voltaje_B,-0.2594460247811886,-0.24215443081583032,-0.29250178236124574,0.9427769011311321,1.0,0.9649339643374946,0.8815186583100709,-0.26528260812502413,-0.2673348066111476,-0.2680385019820325,-0.019389808407737026
THD_Voltaje_Promedio,-0.32762461280682664,-0.3139854036597008,-0.3465564492868058,0.991297853820548,0.9649339643374946,1.0,0.9689229449832553,-0.336410543643316,-0.3377298148096688,-0.33858907789995213,-0.07837776686498564
THD_Voltaje_C,-0.3315549538127713,-0.3191607187407962,-0.33583276633035625,0.9542078169213497,0.8815186583100709,0.9689229449832553,1.0,-0.34779345691815905,-0.3479077413163187,-0.3489438838834302,-0.08615525608280719
Potencia_A,0.9245736474949838,0.9139066877101797,0.9074819000932854,-0.36492941860539146,-0.26528260812502413,-0.336410543643316,-0.34779345691815905,1.0,0.999906318577526,0.999851071748921,0.8790153139055468
Potencia_B,0.925061163785758,0.9146634514936262,0.9087206590710973,-0.36656567539156,-0.2673348066111476,-0.3377298148096688,-0.3479077413163187,0.999906318577526,1.0,0.9999282381509573,0.8795373144388243
Potencia_C,0.9273576500377568,0.9168147419238115,0.9107356575702398,-0.3673503869711489,-0.2680385019820325,-0.33858907789995213,-0.3489438838834302,0.999851071748921,0.9999282381509573,1.0,0.8815873125757783
THD,0.9644837472904058,0.9686777513130247,0.9574515212937034,-0.11648756767030974,-0.019389808407737026,-0.07837776686498564,-0.08615525608280719,0.8790153139055468,0.8795373144388243,0.8815873125757783,1.0
